#{"t_start": 1773725816.4837217, "env_id": "None"}
r,l,t
-3068.837405,300,70.593601
-7689.224913,300,70.766187
-8552.334065,300,70.913042
-4192.635949,300,71.067032
-308.570599,37,71.089382
-6687.608518,300,71.235156
-9326.193526,300,71.403917
-7443.362453,300,71.5506
-5893.335585,300,72.715096
-8185.201226,300,72.880144
-10458.20291,300,73.033535
-4893.478465,300,73.180601
-7109.167259,300,73.340914
-4345.974659,300,73.492623
-4613.811096,300,74.641881
-7470.610378,300,74.816171
-5275.692485,300,74.977224
-9152.489203,300,75.127331
-3464.455504,300,75.285329
-6072.998903,300,75.478276
-8605.604667,300,75.631351
-8323.914903,300,76.776087
-5075.628379,300,76.961758
-5301.602587,300,77.117747
-5305.988238,300,77.269573
-6458.624251,300,77.419695
-4610.726051,300,77.579439
-9049.651483,300,77.728179
-8311.219834,300,78.872204
-5849.648878,300,79.060059
-5330.120351,300,79.207871
-4558.650893,300,79.354285
-6053.476426,300,79.517014
-6411.932596,300,79.67677
-5206.889164,300,79.826685
-8873.628285,300,80.985039
-6835.856655,300,81.168939
-4992.438288,300,81.343902
-3546.506434,300,81.492832
-5879.290941,300,81.653403
-3547.509175,219,81.762781
-10937.595895,300,81.912065
-7039.294814,300,83.080739
-7505.499002,300,83.259432
-5127.198071,300,83.407516
-6224.961104,300,83.553408
-6558.66515,300,83.713348
-3403.776036,300,83.871169
-4816.792677,300,84.01823
-7257.472092,300,85.167077
-6390.286414,300,85.323695
-6761.638221,300,85.47038
-9699.917329,300,85.618708
-4616.087407,300,85.781972
-4605.439269,300,85.927958
-5095.086703,300,86.076964
-6160.59621,300,87.257068
-5415.339885,300,87.40812
-5917.886607,300,87.558789
-5312.089131,300,87.719774
-6693.084239,300,87.871089
-8189.495224,300,88.02206
-2881.275174,300,89.283971
-8354.032892,300,89.48817
-8529.312191,300,89.684933
-4159.440474,300,89.887651
-7229.677856,300,90.071918
-6698.992193,300,90.25509
-5032.391708,300,90.435159
-4630.350675,300,91.61204
-853.653034,69,91.653233
-1016.376307,106,91.716403
-5842.894245,300,91.881398
-2334.91876,192,91.975241
-6397.178899,300,92.15284
-4794.87321,300,92.305039
-1238.00836,143,92.373792
-8356.376453,300,92.533247
-7405.107541,300,93.682047
-6410.011583,300,93.863423
-3694.60234,218,93.969391
-8732.448302,300,94.115563
-93.511882,17,94.123566
-6064.938517,300,94.287414
-8218.920395,300,94.434151
-4322.233516,300,94.582606
-9322.759177,300,95.733142
-5903.971653,300,95.913012
-681.362569,79,95.95354
-3275.721926,274,96.092006
-5293.103811,300,96.266244
-4952.296349,300,96.419512
-4264.5462,300,96.570746
-6110.691277,300,96.719581
-7002.907386,300,97.884354
-7311.186621,300,98.053691
-5443.439994,300,98.203604
-5198.695399,300,98.363364
-6692.207049,300,98.51036
-8451.528896,300,98.661037
-3072.013646,300,98.819828
-5867.378467,300,99.95541
-7243.168996,300,100.117872
-5154.894199,300,100.264069
-6440.868263,300,100.426507
-4315.465453,300,100.5744
-6123.578556,300,100.724017
-7916.927037,300,100.887385
-4574.093171,300,102.045614
-3512.153481,300,102.217224
-4595.614403,300,102.377049
-5390.335027,300,102.524361
-7205.160295,300,102.677374
-7316.710037,300,102.834059
-5901.960637,300,103.021043
-4654.391704,300,104.230703
-5051.741174,300,104.438263
-6529.948811,300,104.627503
-8612.99488,300,104.810637
-7591.612966,300,105.000432
-8979.750861,300,105.173044
-5525.122609,300,106.409316
-3714.698889,300,106.586715
-7082.469787,300,106.735222
-5815.77483,300,106.894375
-6115.423117,300,107.041352
-9927.440614,300,107.187315
-5222.411672,300,107.347785
-7525.33999,300,108.486444
-6175.444868,300,108.660369
-9440.800526,300,108.821544
-5486.184991,300,108.968522
-6019.020394,300,109.122864
-4201.315296,300,109.270374
-7652.211348,300,109.436113
-5907.019921,300,110.568641
-4583.642945,300,110.742378
-329.004144,46,110.764841
-5824.994988,300,110.933391
-6996.553623,300,111.089123
-5454.807744,300,111.242741
-4740.338765,300,111.429951
-7572.320993,300,111.581822
-10873.632312,300,112.73888
-4907.881323,300,112.908553
-3797.529487,300,113.058179
-3694.64646,300,113.207921
